date,v,ma,std,zscore,pos
"2025-05-14, 16:00:00",1617586.25119149,1512142.004883347,48501.20279168471,2.1740542551291306,1
"2025-05-14, 17:00:00",1617458.25666637,1512683.913494821,48975.30021131173,2.1393302893393904,1
"2025-05-14, 18:00:00",1617185.06019794,1513224.7628236522,49436.332963813606,2.1029127999923594,1
"2025-05-14, 19:00:00",1617090.59123936,1513765.2196521037,49886.35880528775,2.071214938547572,1
"2025-05-14, 20:00:00",1616742.22133681,1514303.8207845083,50323.596636358445,2.035593785009608,1
"2025-05-14, 21:00:00",1616701.17842869,1514842.1649676342,50751.00472852669,2.007034422390492,1
"2025-05-14, 22:00:00",1616722.2640752,1515380.1990051335,51169.5178006542,1.980516319596253,1
"2025-05-14, 23:00:00",1616663.91978905,1515918.9074051478,51578.077667306265,1.9532525627212611,1
"2025-05-15, 00:00:00",1618801.85377614,1516467.0611383945,51995.8375873826,1.9681343235555093,1
"2025-05-15, 01:00:00",1618751.92243384,1517014.668018979,52404.24494758354,1.941393383620393,1
"2025-05-15, 02:00:00",1618866.61427107,1517562.7449349347,52804.75941770276,1.9184609579373144,1
"2025-05-15, 03:00:00",1618857.55785552,1518110.7815076734,53196.5138133292,1.8938605018624894,1
"2025-05-15, 04:00:00",1618899.07837668,1518664.5181980976,53577.31432491616,1.8708395790560968,1
"2025-05-15, 05:00:00",1619084.2589541,1519219.0571910818,53951.20802760542,1.8510280939755763,1
"2025-05-15, 06:00:00",1618996.40757949,1519773.648264876,54315.913919264174,1.826771422130534,1
"2025-05-15, 07:00:00",1618888.65821401,1520328.3521984739,54671.37834163592,1.802777047244772,1
"2025-05-15, 08:00:00",1618660.84503556,1520882.2266258993,55017.08129164474,1.7772411061091669,1
"2025-05-15, 09:00:00",1618806.6337177,1521437.1591092038,55355.93549769515,1.7589708083345503,1
"2025-05-15, 10:00:00",1620020.83168623,1521997.5092745144,55696.317391736586,1.7599605683491526,1
"2025-05-15, 11:00:00",1619198.34614543,1522554.5411160667,56022.66978787084,1.7250838882777986,1
"2025-05-15, 12:00:00",1619315.9359711,1523112.0232059623,56342.507761873974,1.7074836848181156,1
"2025-05-15, 13:00:00",1619307.08680091,1523669.7619710334,56654.79278070852,1.6880712140287282,1
"2025-05-15, 14:00:00",1620460.0647402,1524232.65213551,56968.20345042567,1.6891424825855386,1
"2025-05-15, 15:00:00",1620220.44245585,1524791.1957053165,57274.57722802105,1.6661711245918323,1
"2025-05-15, 16:00:00",1620164.79677069,1525349.6811628642,57573.37140832208,1.6468571023117213,1
"2025-05-15, 17:00:00",1620149.49847015,1525908.033962402,57865.14122018098,1.6286396701107568,1
"2025-05-15, 18:00:00",1620181.44811968,1526466.6863581964,58150.18835233876,1.6115985935188182,1
"2025-05-15, 19:00:00",1620138.64362419,1527025.2648211569,58428.11519621457,1.5936399538191122,1
"2025-05-15, 20:00:00",1620089.55118854,1527583.8986008454,58698.88423765994,1.5759354507175614,1
"2025-05-15, 21:00:00",1620033.25106424,1528142.4904984762,58962.58532765376,1.5584588100255259,1
"2025-05-15, 22:00:00",1619887.7923364,1528700.5572042272,59218.77925174887,1.539836455333208,1
"2025-05-15, 23:00:00",1619872.75610727,1529258.35818923,59468.64004683645,1.523734153777077,1
"2025-05-16, 00:00:00",1620594.40926344,1529819.0992316462,59717.09307103265,1.5200892301274245,1
"2025-05-16, 01:00:00",1620453.03355161,1530379.234822083,59958.32159055771,1.5022735183386446,1
"2025-05-16, 02:00:00",1620401.94622438,1530939.1782600817,60192.99910665487,1.4862653347074621,1
"2025-05-16, 03:00:00",1620352.88531103,1531504.0707309667,60417.71859253351,1.4705754644473348,1
"2025-05-16, 04:00:00",1620355.88146601,1532068.6593609387,60636.56036125781,1.4560064353762396,1
"2025-05-16, 05:00:00",1620422.03987334,1532635.525391287,60848.3581747856,1.4427096657215979,1
"2025-05-16, 06:00:00",1620331.40145527,1533201.53449302,61053.90658554045,1.4270973281648294,1
"2025-05-16, 07:00:00",1620411.5942378,1533767.9323779314,61253.97541366597,1.414498590087233,1
"2025-05-16, 08:00:00",1620479.53920281,1534334.461927128,61448.68244468203,1.4019027560636865,1
"2025-05-16, 09:00:00",1620292.64113584,1534902.2947202954,61634.85060588852,1.3854231100770533,1
"2025-05-16, 10:00:00",1619659.60558479,1535467.5195627585,61811.356990510925,1.3620811792718996,1
"2025-05-16, 11:00:00",1619567.65211151,1536032.9044446612,61981.220013617,1.3477428751563234,1
"2025-05-16, 12:00:00",1619538.07496678,1536597.814089348,62145.548299815135,1.3346130679754347,1
"2025-05-16, 13:00:00",1619468.93909687,1537163.6642729624,62302.937295906944,1.3210496711094015,1
"2025-05-16, 14:00:00",1619307.38441495,1537729.3095752122,62453.472643629,1.3062215980404681,1
"2025-05-16, 15:00:00",1617032.72771372,1538274.782361475,62593.91803928084,1.2582363881235283,1
"2025-05-16, 16:00:00",1617039.3689436,1538820.0860515332,62729.47264418591,1.2469303438232637,1
"2025-05-16, 17:00:00",1616910.77418813,1539364.6322843123,62859.44864443434,1.23364336748257,1
"2025-05-16, 18:00:00",1616616.76488246,1539907.645276985,62983.070834520746,1.2179323521239167,1
"2025-05-16, 19:00:00",1616501.01091675,1540450.4245485954,63100.94106705966,1.2052211121119856,1
"2025-05-16, 20:00:00",1616297.76156676,1540993.8563284674,63211.63817870525,1.1912981123096575,1
"2025-05-16, 21:00:00",1616282.10282967,1541537.0526171413,63317.51221528508,1.1804798956470222,1
"2025-05-16, 22:00:00",1616281.19653561,1542080.512348786,63418.31498082451,1.170019799631378,1
"2025-05-16, 23:00:00",1616165.93525743,1542623.0778401948,63514.0309010022,1.1578993865444416,1
"2025-05-17, 00:00:00",1628767.19850949,1543221.6896113022,63671.96307696614,1.3435349683624638,1
"2025-05-17, 01:00:00",1628717.599688,1543820.166051318,63823.51230367146,1.3301905610073792,1
"2025-05-17, 02:00:00",1628758.0224957,1544418.9632827227,63969.18738072914,1.3184325558336643,1
"2025-05-17, 03:00:00",1628767.78607378,1545017.2615924238,64109.43213152768,1.306368215983142,1
"2025-05-17, 04:00:00",1628622.85618722,1545615.1678286623,64242.757321148114,1.2920941102139196,1
"2025-05-17, 05:00:00",1628604.31373777,1546212.914339044,64370.194648575525,1.279961942767707,1
"2025-05-17, 06:00:00",1628580.29840859,1546811.7554152315,64490.6304942252,1.2679135304884406,1
"2025-05-17, 07:00:00",1628570.4897262,1547412.3072058228,64603.65006663541,1.2562476336347348,1
"2025-05-17, 08:00:00",1628570.93577589,1548011.9868313952,64711.665021279354,1.2448906842066938,1
"2025-05-17, 09:00:00",1628489.10686485,1548611.5023412758,64813.31636377561,1.2324258193369984,1
